               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.038048,            0.028798,           0.0056746,             0.58909,             0.74994,             0.69494,             0.36065,            0.033788,            0.022836,           0.0050394,             0.00307,             0.00307,             0.00307
                  37,            0.037883,            0.029253,           0.0056089,             0.58349,             0.78489,             0.71367,             0.37584,            0.033073,            0.022558,           0.0049676,            0.002872,            0.002872,            0.002872
                  38,            0.037735,            0.029063,            0.005595,             0.58367,              0.7552,             0.69991,             0.36314,             0.03382,            0.022945,           0.0049768,            0.002674,            0.002674,            0.002674
                  39,            0.037189,            0.028479,           0.0054506,             0.57414,             0.77823,             0.69622,             0.36667,            0.033236,            0.023134,            0.004946,            0.002476,            0.002476,            0.002476
                  40,            0.036941,            0.028823,           0.0052084,             0.59741,             0.76856,             0.70419,             0.37039,            0.033158,            0.023211,           0.0046744,            0.002278,            0.002278,            0.002278
                  41,            0.036545,            0.028454,           0.0051934,             0.62291,             0.75254,             0.72691,             0.38326,            0.032922,            0.022643,            0.004586,             0.00208,             0.00208,             0.00208
                  42,            0.036649,            0.028841,           0.0051935,             0.64726,             0.75508,             0.73217,             0.38536,            0.032652,             0.02297,           0.0045904,            0.001882,            0.001882,            0.001882
                  43,            0.036333,            0.028711,           0.0050056,             0.68641,              0.7552,             0.74629,             0.39915,            0.032836,            0.022802,           0.0044602,            0.001684,            0.001684,            0.001684
                  44,            0.036325,            0.028885,           0.0049518,             0.67477,             0.75574,             0.74155,             0.39574,            0.032539,            0.023063,           0.0043151,            0.001486,            0.001486,            0.001486
                  45,            0.036377,              0.0287,           0.0050412,             0.69078,             0.75944,             0.75552,             0.40175,            0.032718,            0.022792,           0.0043095,            0.001288,            0.001288,            0.001288
                  46,            0.036063,            0.028781,           0.0048507,             0.69542,             0.75862,             0.75725,              0.4048,             0.03252,            0.023006,            0.004111,             0.00109,             0.00109,             0.00109
                  47,            0.035676,            0.028662,           0.0047776,             0.67615,             0.76878,             0.75338,             0.40767,            0.031949,            0.022973,           0.0041132,            0.000892,            0.000892,            0.000892
                  48,            0.035463,            0.028518,           0.0045887,             0.71381,             0.74819,             0.76158,             0.41526,            0.031857,            0.022791,            0.003989,            0.000694,            0.000694,            0.000694
                  49,             0.03529,            0.028189,           0.0046615,             0.72595,             0.74902,             0.77705,             0.42002,            0.031878,            0.022622,           0.0039384,            0.000496,            0.000496,            0.000496
